Airline IATA Code,Aircraft Subtype IATA Type,MTOW
2L,290,54
2L,E90,51
3O,320,77
3O,321,89
3O,32A,77
3O,73H,80
3V,73P,68
5O,73H,78
5O,73W,71
5O,73Y,64
5P,320,77
6D,73H,80
A0,320,76
A0,321,83
A0,32Q,97
A3,320,75
A3,321,89
A3,32A,78
A3,32N,76
A3,32Q,89
ABR,AT7,23
AC,333,233
AC,77W,352
AC,788,140
AC,789,255
AEH,319,76
AEH,ER4,22
AF,223,64
AF,318,60
AF,319,67
AF,320,75
AF,321,84
AF,32A,77
AF,73H,78
AF,73W,71
AF,772,298
AF,77W,345
AF,E70,34
AF,E90,45
AGR,ER4,22
AH,736,66
AH,73H,79
AH,73K,79
AH,73W,78
AIA,ER4,22
AL,ER4,21
AP,738,80
AP,73H,77
AT,73H,79
AT,788,228
AT,789,255
AT,7M8,82
AT,E90,52
ATV,DH4,30
AXE,73H,80
AY,319,69
AY,320,75
AY,321,89
AY,32B,91
AY,E90,48
AZ,221,55
AZ,223,60
AZ,319,64
AZ,320,74
AZ,32N,74
AZ,32Q,94
BA,319,64
BA,320,73
BA,321,83
BA,32A,74
BA,32N,75
BA,32Q,89
BA,772,294
BA,789,248
BBT,32X,91
BE,DH4,29
BG,788,228
BIX,319,76
BJ,320,77
BJ,32A,76
BJ,32N,79
BJ,73J,86
BN,DH4,30
BQ,DH4,30
BRO,733,63
BRO,73G,65
BT,223,68
BT,319,74
C6,76Y,185
CA,332,233
CA,333,230
CA,359,273
CAT,73H,77
CE,AT5,19
CJ,E90,46
D0,75F,104
D8,73H,79
D8,7M8,82
DK,321,94
DK,73H,80
DL,764,205
DL,76W,187
DY,73H,79
DY,7M8,81
EI,320,74
EI,32N,74
EI,32Q,97
EJU,319,66
EJU,320,75
EJU,32A,75
EJU,32N,75
EJU,32Q,89
EK,77W,352
EN,E90,48
EN,E95,50
ENT,73H,80
ENT,7M8,83
ET,351,319
ET,359,276
ET,77L,348
ET,788,224
ET,789,255
ET,7M8,83
EUP,ER3,20
EUP,ER4,22
EW,223,68
EW,319,68
EW,320,77
EW,321,89
EW,32A,77
EW,32N,77
EW,32Q,89
EY,77W,352
EY,781,251
EY,789,251
EZE,E70,38
EZS,319,68
EZS,320,74
EZS,32A,74
EZS,32N,75
EZY,319,66
EZY,320,75
EZY,32A,75
EZY,32N,77
EZY,32Q,89
FH,320,78
FI,32Q,97
FI,75W,115
FI,7M8,83
FI,7M9,89
FR,7M8,77
FRF,AT7,22
FRO,ER3,19
FRO,S20,23
FS,7M8,79
FX,73K,72
FX,73P,66
FX,AT7,23
GAV,CR9,38
GER,E90,51
GF,32Q,94
HAT,734,66
HV,73H,75
HV,73W,68
IB,319,64
IB,320,74
IB,321,84
IB,32A,74
IB,32N,74
IB,32Q,101
IB,332,242
IB,CRK,39
IV,320,76
IV,734,65
IZ,320,76
IZ,321,93
IZ,32A,77
IZ,32Q,97
IZ,339,242
IZ,73H,80
IZ,73W,68
IZ,7S8,79
IZ,E95,53
J2,319,74
J2,320,77
JTD,7S8,80
JU,319,69
JU,E95,53
KK,320,77
KL,295,57
KL,73H,70
KL,73J,77
KL,73W,62
KL,E7W,37
KL,E90,45
KLJ,733,64
KLJ,735,59
KM,319,70
KM,320,76
KM,32A,77
KM,32N,76
KM,7M8,83
KRP,319,70
KU,32A,77
KU,32N,79
KU,32Q,97
KU,332,238
KU,338,242
KU,339,251
KU,77W,331
LB,320,77
LB,73C,63
LG,73W,68
LG,7M8,83
LG,DH4,29
LG,E90,51
LH,319,69
LH,320,74
LH,321,85
LH,32A,74
LH,32N,74
LH,32Q,89
LH,CR9,38
LH,CRK,40
LH,E90,48
LH,E95,50
LO,295,62
LO,73H,78
LO,7M8,79
LO,E70,36
LO,E75,39
LO,E90,49
LO,E95,52
LS,32B,89
LS,32Q,89
LS,738,77
LS,73C,63
LS,73H,77
LS,752,104
LS,75W,104
LS,7S8,77
LX,221,58
LX,223,65
LX,290,54
LX,295,62
LX,320,74
LX,321,83
LX,32A,77
LX,32B,83
LX,32N,74
LX,32Q,89
LX,333,233
LX,343,275
LX,77W,352
LX,E90,51
LX,E95,53
LY,73H,79
LY,73J,86
MAR,734,63
ME,320,76
ME,32A,77
ME,32Q,90
MK,339,245
MK,359,268
MLM,73E,58
MNE,E95,51
MS,223,68
MS,32N,79
MS,32Q,94
MS,333,233
MS,73H,80
MS,73K,80
MS,77W,352
MU,332,233
MU,359,272
NCR,74Y,395
ND,CR2,24
NYX,S20,23
OG,32N,79
OG,32Q,94
OS,223,68
OS,320,76
OS,321,87
OS,32A,77
OS,32N,74
OS,E95,51
OU,320,77
OU,32A,77
OU,DH4,30
PC,320,77
PC,32A,76
PC,32N,78
PC,32Q,90
PC,73H,78
PVG,321,89
PVG,332,233
QR,351,316
QR,359,276
QR,77L,348
QR,77W,352
QR,788,215
QR,789,248
QS,73G,69
QS,73H,80
QS,73J,86
QS,7M8,83
QS,7S8,80
QY,734,68
QY,73K,80
QY,73P,68
QY,73Y,62
QY,75F,102
QY,75V,101
QY,ABY,157
R6,320,77
R6,32A,77
RJ,290,57
RJ,295,62
RJ,319,76
RJ,320,77
RJ,321,93
RJ,32A,77
RJ,E95,53
SE,32X,93
SI,AT7,23
SK,319,68
SK,320,75
SK,321,87
SK,32N,77
SK,73H,80
SK,73W,70
SK,7S8,80
SK,CR9,38
SK,CRK,41
SK,E95,51
SN,319,65
SN,320,76
SN,32A,77
SN,32N,77
SN,CR9,38
SR,319,76
SR,320,77
SRN,AT7,22
SRN,SF3,13
SV,320,77
SV,32A,77
SV,32Q,92
SV,333,230
SV,781,253
SV,789,255
SWT,AT7,23
TE,76X,160
TE,76Y,187
TF,319,76
TF,AT7,23
TK,320,76
TK,321,89
TK,32A,77
TK,32B,89
TK,32N,77
TK,32Q,89
TK,332,233
TK,333,234
TK,33X,233
TK,359,280
TK,73H,79
TK,73J,86
TK,77W,352
TK,789,253
TK,7M8,82
TK,7M9,89
TLJ,ER4,22
TO,32A,77
TO,73H,74
TOM,73H,79
TOM,76W,187
TOM,7M8,77
TOM,7S8,79
TP,319,69
TP,320,75
TP,321,89
TP,32A,77
TP,32N,77
TP,32Q,90
TP,332,233
TP,339,242
TP,E90,51
TP,E95,52
TU,319,76
TU,320,77
TU,32A,77
TU,32N,79
TU,332,230
TU,73H,80
TU,73W,71
UA,764,205
UA,76W,185
VF,320,74
VF,321,90
VF,32A,77
VF,32Q,90
VF,738,80
VF,73H,80
VF,7M8,80
VY,319,56
VY,320,74
VY,32A,75
VY,32B,89
VY,32N,74
VY,32Q,89
W4,320,75
W4,32A,71
W4,32B,89
W4,32Q,89
W4,7S8,80
W6,320,74
W6,32A,72
W6,32B,89
W6,32N,74
W6,32Q,89
W6,738,80
WK,221,58
WK,320,74
X3,7M8,83
XC,73H,79
XM,AT5,19
XQ,320,77
XQ,32A,77
XQ,734,66
XQ,73H,78
XQ,7M8,80
XQ,7S8,77
XY,32N,79
YU,763,185
YU,772,297
YW,CR2,24
YW,CRK,39
ZB,320,77
ZB,738,79
ZT,320,77
ZX,AT5,19
